X	Y	NKNR	NKNAME
7.315457464	51.70465766	4209006	
7.32895184	51.7409676	4209007	
7.279375714	51.78028412	4209008	
7.186438617	51.7275363	4209009	
7.168170024	51.73757439	4209011	
7.182303309	51.74493879	4209013	
7.189424598	51.7414999	4209014	
7.226415947	51.72104491	4209021	
7.241692724	51.73356201	4209022	
7.242496028	51.74110414	4209023	
7.301988656	51.70140259	4209024	
7.309282364	51.70032934	4209025	
7.220896297	51.7719441	4209027	
7.208633274	51.77992011	4209028	
7.222849612	51.78997411	4209029	
7.190507844	51.73957956	4209030	
7.188036064	51.72278052	4209031	
7.18178235	51.74382143	4209032	
7.23550041	51.76485862	4209035	
7.226702442	51.77856256	4209036	
7.177678315	51.78290636	4209037	Lavesum
7.189664136	51.74507441	4209038	
7.195613055	51.7580797	4209039	
7.192892862	51.75191352	4209041	
7.336441033	51.79858793	4210001	
7.451591892	51.72743203	4210002	
